DIST_NUM,total,hispanic_or_latino,white,black,american_indian,asian,unknown
1,38405,2386,20664,8104,50,5958,1243
12,71526,2898,4351,57854,136,3925,2362
14,112859,4118,20676,81429,267,1458,4911
15,138626,38374,47313,36134,277,9889,6639
16,40944,2039,8942,24627,76,3723,1537
17,50789,3600,23211,17008,94,4423,2453
18,80477,4427,20730,41233,189,9901,3997
19,86470,2875,7938,70355,175,2060,3067
2,113310,27500,28512,33787,160,17117,6234
22,76503,4720,16021,48715,164,3963,2920
24,68061,32517,20521,10368,79,2571,2005
25,67310,43269,2548,18526,64,1563,1340
26,57811,13331,29402,9215,72,3427,2364
3,91318,12372,53882,5996,62,15502,3504
35,99899,13898,4229,70807,198,7741,3026
39,59476,3182,9953,42554,114,1338,2335
5,43498,2347,32759,4496,50,1803,2043
6,47413,3177,28301,6578,71,7243,2043
7,96187,6740,60536,7450,98,16491,4872
77,0,0,0,0,0,0,0
8,98803,10470,65094,13630,141,5909,3559
9,64112,4037,45245,4969,59,6982,2820
