division,district,American Indian,Asian,Unknown,White - Non-Latino,White - Latino,Black - Non-Latino,Black - Latino
SWPD,16,114.0,3778.0,2914.0,9023.0,323.0,25296.0,355.0
SPD,17,190.0,4775.0,4963.0,22489.0,643.0,16792.0,260.0
SWPD,18,268.0,9925.0,6758.0,20626.0,852.0,41068.0,647.0
NWPD,35,455.0,7822.0,14031.0,4230.0,1345.0,70849.0,1361.0
NWPD,39,157.0,1453.0,4454.0,10262.0,478.0,43098.0,730.0
SPD,01,94.0,5505.0,2879.0,19745.0,426.0,8255.0,134.0
NEPD,02,532.0,17535.0,29249.0,29628.0,2981.0,33886.0,1348.0
SPD,03,529.0,15743.0,13718.0,55338.0,1473.0,6052.0,252.0
SWPD,19,212.0,2027.0,4721.0,7823.0,284.0,69552.0,794.0
CPD,22,237.0,3988.0,6004.0,16026.0,725.0,49182.0,948.0
EPD,24,522.0,2616.0,26805.0,20420.0,4045.0,10082.0,1655.0
EPD,25,654.0,1800.0,37577.0,2596.0,4900.0,18126.0,2238.0
EPD,26,285.0,3483.0,12438.0,29295.0,2043.0,8698.0,750.0
NEPD,15,733.0,9979.0,36818.0,46925.0,4919.0,36109.0,2379.0
SWPD,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWPD,05,75.0,1830.0,3562.0,32694.0,600.0,4488.0,163.0
CPD,06,119.0,7183.0,3918.0,27309.0,877.0,6532.0,206.0
NEPD,07,184.0,16318.0,9685.0,59478.0,1210.0,7318.0,243.0
NEPD,08,239.0,5996.0,11434.0,64979.0,1978.0,13496.0,495.0
CPD,09,110.0,7128.0,5762.0,46162.0,984.0,4991.0,119.0
SWPD,12,182.0,3976.0,4455.0,4474.0,221.0,57892.0,536.0
NWPD,14,312.0,1423.0,7408.0,20369.0,444.0,81305.0,988.0
