PSA_NUM,american_indian,asian,unknown,white,black_or_african_american,hispanic_or_latino,total
077,0,0,0,0,0,0,0
011,38,5362,1092,13930,7520,2007,29949
012,12,596,151,6734,584,379,8456
021,72,6182,2314,5610,14314,12002,40494
022,35,3320,1050,4941,12381,7878,29605
023,53,7615,2870,17961,7092,7620,43211
051,13,616,760,12405,1250,890,15934
052,19,463,623,10059,846,643,12653
053,18,724,660,10295,2400,814,14911
061,26,1879,679,6936,3845,1220,14585
062,16,3139,427,5887,1240,705,11414
063,29,2225,937,15478,1493,1252,21414
071,19,3111,1689,15637,2576,2477,25509
072,36,6697,1437,21727,3012,2342,35251
073,43,6683,1746,23172,1862,1921,35427
081,49,2472,1233,17747,6877,4390,32768
082,54,1861,1379,26002,4241,3358,36895
083,38,1576,947,21345,2512,2722,29140
091,20,2443,966,17481,828,1312,23050
092,15,3418,874,13467,1666,1254,20694
093,24,1216,1049,15257,2536,1523,21605
121,32,1084,412,1341,12089,527,15485
122,22,1182,534,544,14040,794,17116
123,45,1444,812,1029,17763,1009,22102
124,37,215,604,1437,13962,568,16823
141,120,206,1476,1113,39321,1127,43363
142,63,146,928,1340,17594,900,20971
143,24,543,1245,8034,9261,978,20085
144,60,563,1262,10189,15253,1113,28440
152,113,2404,2008,12219,13870,15285,45899
153,69,6596,3099,23540,8759,11786,53849
161,22,2863,674,7354,7894,1140,19947
162,54,860,863,1588,16733,899,20997
171,21,1701,1130,13353,3256,1159,20620
172,42,1032,482,2638,6397,903,11494
173,31,1595,772,6260,7294,1486,17438
181,67,307,803,620,17410,633,19840
182,82,608,997,3245,16634,940,22506
183,40,8986,2197,16865,7189,2854,38131
221,64,934,821,5377,14342,1531,23069
222,47,97,620,324,17358,801,19247
223,31,2588,927,7089,9505,1654,21794
224,22,344,552,3231,7510,734,12393
241,40,1805,730,4002,5761,18315,30653
242,25,413,566,2691,3707,11879,19281
243,14,353,709,13828,900,2323,18127
261,14,328,363,974,4555,6391,12625
262,37,1222,849,9755,3473,3784,19120
263,21,1877,1152,18673,1187,3156,26066
351,76,4435,1196,1941,25331,4757,37736
353,80,545,848,1237,24081,1310,28101
391,42,1054,1391,9393,15111,1562,28553
392,39,173,470,295,12681,878,14536
393,33,111,474,265,14762,742,16387
191,42,437,971,3334,23845,951,29580
192,73,254,1060,461,27670,941,30459
193,60,1369,1036,4143,18840,983,26431
031,21,1876,1120,14118,2362,1570,21067
033,29,10266,1547,25422,2146,8307,47717
032,12,3360,837,14342,1488,2495,22534
254,25,168,318,293,6184,7696,14684
253,8,205,254,756,2222,14159,17604
151,95,889,1532,11554,13505,11303,38878
252,11,913,410,1182,4224,12589,19329
352,42,2761,982,1051,21395,7831,34062
251,20,277,358,317,5896,8825,15693
